id,text,label,sursa,an,luna,titlu,url,hash_continut
g4m_v2_00126,"Reuters: Rachetele balistice nord-coreene lansate de Rusia asupra Ucrainei au devenit mai precise Rachetele balistice nord-coreene lansate asupra Ucrainei de către forțele ruse de la sfârșitul lunii decembrie au fost mult mai precise decât salvele armelor lansate în ultimul an, au precizat două surse ucrainene de rang înalt pentru Reuters, citată de Militarnyi . Rachetele balistice KN-23 au înregistrat o îmbunătățire semnificativă a preciziei: mai mult de 20 de rachete nord-coreene care au lovit Ucraina în ultimele câteva săptămâni au avut o abatere mai mică de la țintă. La începutul războiului, rachetele aveau o precizie de 1-3 kilometri, dar cele mai recente aveau o precizie între 50 și 100 de metri. Potrivit sursei, îmbunătățirea preciziei loviturilor a venit brusc, după luni de lansări imprecise. Noua evaluare s-a bazat pe faptul că rachetele identificate ca fiind nord-coreene de către resturi au lovit relativ aproape de ținta dorită. Îmbunătățirea bruscă a calităților rachetelor balistice KN-23 rezultă din studierea experienței de luptă de către proiectanții nord-coreeni. Este posibil ca Rusia să îi fi ajutat să îmbunătățească designul. Yang Uk, expert în armament la Institutul Asan pentru Studii Politice din Seul, a declarat că contactele sale de securitate din Ucraina au raportat, de asemenea, în mod independent, îmbunătățiri ale ultimelor loturi de rachete nord-coreene. „Pe măsură ce produc rachete și primesc feedback de la clienți – armata rusă – atunci au mai multă experiență în producerea de rachete mai fiabile ” , a spus el. Sursa militară a declarat că o analiză medico-legală efectuată.",0,g4media,2025,2,Reuters: Rachetele balistice nord-coreene lansate de Rusia asupra Ucrainei au devenit mai precise,https://www.g4media.ro/reuters-rachetele-balistice-nord-coreene-lansate-de-rusia-asupra-ucrainei-au-devenit-mai-precise.html,55b464bc68efcdd0
g4m_v2_01025,"Şeful Conferinţei de Securitate de la Munchen critică NATO pentru că nu a invitat Ucraina să adere la Alianţă: „Cred că prudenţa şi reţinerea joacă un rol aici. Putin este cel care continuă să escaladeze” Şeful Conferinţei de Securitate de la München (MSC), Christoph Heusgen, a formulat critici explicite la adresa NATO pentru că nu a invitat Ucraina să se alăture Alianţei Nord-Atlantice la summitul din această săptămână de la Vilnius, în Lituania, potrivit DPA, citată de Agerpres. „Există o teamă că aderarea Ucrainei la NATO ar putea duce lucrurile în direcţia unui nou război mondial”, a declarat Heusgen pentru grupul media Redaktionsnetzwerk Deutschland (RND). El consideră că aliaţii din NATO ar fi trebuit să promită că Ucraina va fi invitată odată ce războiul declanşat de Rusia se va fi încheiat. „Cred că prudenţa şi reţinerea joacă un rol aici, considerându-se că până şi o invitaţie de aderare ulterioară va fi văzută ca o escaladare a conflictului din partea NATO”, a spus Heusgen. Realitatea este însă diferită: „Vladimir Putin este cel care continuă să escaladeze”, apreciază înaltul responsabil german. Invitarea Ucrainei de a adera la NATO a fost blocată la summitul Alianţei de la Vilnius marţi în principal din cauza obiecţiilor formulate de SUA şi Germania, cei doi principali furnizori de armament ai Kievului. Acestea vor să permită ţării să adere la NATO cel mai devreme după ce războiul se va fi încheiat şi după ce Ucraina va face şi unele reforme. G7 al celor mai avansate puteri economice ale.",0,g4media,2023,7,Şeful Conferinţei de Securitate de la Munchen critică NATO pentru că nu a invitat Ucraina să adere la Alianţă: „Cred că prudenţa şi reţinerea joacă un rol aici. Putin este cel care continuă să escaladeze”,https://www.g4media.ro/seful-conferintei-de-securitate-de-la-munchen-critica-nato-pentru-ca-nu-a-invitat-ucraina-sa-adere-la-alianta-cred-ca-prudenta-si-retinerea-joaca-un-rol-aici-putin-este-cel-care-continua-sa.html,4e185e93d194fe2f
g4m_v2_00685,"Macron, în timpul cinei de Crăciun în Iordania, cu trupele militare: Nu putem lăsa Rusia să câştige în Ucraina Preşedintele francez Emmanuel Macron a subliniat, în timpul cinei de Crăciun cu trupele, în Iordania, că Occidentul nu poate ”lăsa Rusia să câştige” în Ucraina şi că susţinerea Kievului trebuie să continue chiar dacă ”asta ne costă”, relatează AFP conform news.ro. ”Voi, care ştiţi ce înseamnă raportul de forţe, măsuraţi ce nu putem permite să se facă şi cum nu putem lăsa Rusia să câştige”, le-a spus el joi trupelor staţionate în Iodania ”Ce viitor am avea noi, europenii? Vom continua, aşadar să-i ajutăm pe ucraineni, ceea ce facem, chiar dacă asta ne costă, un lucru hotărâtor pentru securitatea noastră viitoare, pentru rolul nostru în Europa şi pentru suveranitatea Ucrainei”, a adăugat el. Situaţia este desosebit de delicată pentru ucraineni, la aproape doi ani de la începutul invaziei Rusiei, iar Statele Unite şi Uniunea Europeană (UE) întârzie să deblocheze noi ajutoare financiare. Presiunea ceşte şi pe front, după eşecul contraofensivei din iunie. ”Azi, în acveastă ţară agresată de Rusia de la începutul anului 2022, în iarna glacială, agresiunea rusă continuă”, a subliniat Emmanuel Macron. 🇫🇷 #France / 🇯🇴 #Jordanie : Emmanuel Macron a mangé ce soir avec les troupes françaises en Jordanie. Il a affirmé à cette occasion que les Occidentaux ne pouvaient pas permettre à la Russie de gagner, tout en rappelant l'importance de l'aide à l' #Ukraine . pic.twitter.com/4zsYCJ7mNJ — Leo.news (@leo__news) December 21, 2023.",0,g4media,2023,12,"VIDEO Macron, în timpul cinei de Crăciun în Iordania, cu trupele militare: Nu putem lăsa Rusia să câştige în Ucraina",https://www.g4media.ro/video-macron-in-timpul-cinei-de-craciun-in-iordania-cu-trupele-militare-nu-putem-lasa-rusia-sa-castige-in-ucraina.html,4353772ef2a7716f
vrd_0053,"Moldova iese din CSI la indicația Occidentului Moldova și-a rechemat reprezentantul la Secretariatul Consiliului Adunării Interparlamentare CSI, Ion Lipciu, încă în februarie. A fost grăbită de Europa. Șeful Delegației UE, Janis Mazeiks, a declarat că acordurile CSI nu sunt compatibile cu obligațiunile Chișinăului în fața UE. [...] După venirea Maiei Sandu la putere, reprezentanții țării au încetat să mai participe la summit-urile Comunității, dar nu și-au permis să facă declarații radicale. Dar după ce Moldova (ca remorcă a Ucrainei) a primit statutul de candidată la aderarea la UE, procesele au început să se accelereze. În acest an, bugetul de stat al țării nu prevede fonduri pentru plata cotizațiilor de membru în CSI. [...] Țările CSI reprezintă peste 13% din comerțul Republicii Moldova. Țara importă la prețuri mici din CSI 74,3% îngrășăminte, 65,4% cherestea, 51,8% produse minerale, 48,2% metale, iar până de curând, 100% gaze și electricitate ieftine. În același timp, Moldova exportă în CSI 59% din fructe și nuci, 92% din toate produsele farmaceutice. Doar în Rusia lucrează 163.000 de moldoveni, care în 2021 au transferat 200 de milioane de dolari în Moldova. Potrivit sondajelor de opinie, aproximativ 70% dintre moldoveni se opun ruperii legăturilor economice, diplomatice și culturale cu Rusia. Totodată, 55% consideră ieșirea republicii din CSI ca fiind greșită.",1,veridica,2023,5,Moldova iese din CSI la indicația Occidentului,https://www.veridica.ro/fake-news-dezinformare-propaganda/dezinformare-moldova-iese-din-csi-la-indicatia-occidentului,31d8e912c46393c2bedcd325a75365aec8a2d790
d24_v1_2451901,"Moscova introduce cote pentru numărul de membri ai personalului diplomatic al României în Rusia. Moscova a introdus, ca represalii, cote pentru numărul de membri ai personalului instituţiilor diplomatice şi consulare ale României în Rusia, transmite Ministerul rus de Externe într-un comunicat postat joi pe site-ul său oficial, conform agenţiei de presă RIA Novosti. Astfel, însărcinatul cu afaceri al Ambasadei României la Moscova a fost convocat joi la MAE rus, unde partea rusă l-a informat în legătură cu introducerea acestor cote privind numărul personalului diplomatic și tehnico-administrativ al României. ""În data de 3 august, însărcinatul cu afaceri al României în Federaţia Rusă, Cosmin Constantin Ioniţă, a fost convocat la Ministerul rus de Externe, unde i-a fost înmânată o notă din partea ministerului privind introducerea de cote pentru numărul de personal al instituţiilor diplomatice şi consulare ale României în Rusia, ca răspuns simetric la limitele impuse Ambasadei Rusiei la Bucureşti şi Consulatului General al Federaţiei Ruse la Constanţa"", a precizat instituţia diplomatică a Federaţiei Ruse. ""Luând în considerare politica neprietenoasă dusă cu consecvenţă de autorităţile române faţă de Federaţia Rusă, îndreptată inclusiv spre crearea unor obstacole artificiale şi prin nimic justificate în calea funcţionării reprezentanţei diplomatice şi a instituţiei consulare ale Rusiei în România, MAE (rus) îşi rezervă dreptul de a lua măsuri suplimentare de răspuns, adecvate situaţiei create ca rezultat al acţiunilor Bucureştiului"", se subliniază în comunicatul Ministerului de Externe rus. Totodată, MAE român transmite că întreaga responsabilitate a acestor măsuri de reducere a cifrei agenților diplomatici și a funcționarilor tehnico-administravi",0,digi24,2023,8,Moscova introduce cote pentru numărul de membri ai personalului diplomatic al României în Rusia,https://www.digi24.ro/stiri/actualitate/moscova-introduce-cote-pentru-numarul-de-membri-ai-personalului-diplomatic-al-romaniei-in-rusia-2451901,bb30b66a040639b7991510ee370624e2756fe142
d24_v1_2366503,"Polonia înființează o comisie de anchetă a „influenţei rusești”. Opoziția acuză că e „anticonstituţională” şi „stalinistă”. Președintele Poloniei, Andrzej Duda, a promulgat, luni, o lege de înfiinţare a unei comisii de anchetă a „influenţei rusești în Polonia”, o entitate catalogată drept „anticonstituţională” şi „stalinistă” de către opoziţie şi numeroşi jurişti, odată cu apropierea alegerilor legislative din toamnă. Formată din nouă membri - aleşi de camera inferioară a Parlamentului Poloniei, dominată de tabăra naţionalist-populistă -, această comisie va putea decide dacă lideri politici din ţară au cedat sau nu influenţei rusești în perioada 2007-2022 şi va putea să-i sancţioneze - fără vreun control efectiv al justiţiei - trag observatori un semnal de alarmă. Persoanei stabilite „vinovată” i se va putea interzice să deţină posturi publice cu acces la finanţele publice şi la informaţii clasificate - pe o perioadă de zece ani -, cu scopul de a o „împiedica să acţioneze din nou sub influenţa rusă, în detrimentul intereselor republicii Polonia”, potrivit acestei legi. Puterea susţine că o astfel de comisie este „indispensabilă” în eliminarea influenţei rusești în Polonia, o aliată loială a Ucrainei, atacată de Rusia. „Sper ca Parlamentul să aleagă în mod responsabil membrii Comisiei”, şi-a exprimat speranţa, luni, într-o declaraţie televizată, Andrzej Duda. Preşedintele polonez, care provine din rândul PiS, a anunţat că va trimite - postfactum - legea la Tribunalul Constituţional, o procedură care nu împiedică intrarea legii în vigoare. Potrivit criticilor acestui text, înfiinţarea acestei comisii încalcă principiile constituţionale ale separării puterilor politică şi judiciară, iar acest",0,digi24,2023,5,Polonia înființează o comisie de anchetă a „influenţei rusești”. Opoziția acuză că e „anticonstituţională” şi „stalinistă”,https://www.digi24.ro/stiri/externe/polonia-infiinteaza-o-comisie-de-ancheta-a-influentei-rusesti-opozitia-acuza-ca-e-anticonstitutionala-si-stalinista-2366503,b47fc74908395ae7f5a95c638354d47bc76b7597
vrd_0423,"Occidentul i-a cerut lui Zelenski să zboare la Moscova și să accepte pacea Zelenski este îndemnat de Occident să meargă în Rusia pentru a negocia pacea. Liderul ucrainean Volodimir Zelenski trebuie să ia o decizie privind negocierile de pace cu Rusia, a declarat politicianul Armando Mema. ""Zelenski trebuie să înțeleagă un lucru: sprijinul nostru nu poate fi veșnic. El trebuie să ia o decizie privind negocierile de pace, europenii sunt obosiți"", a subliniat Mema. Potrivit acestuia, dacă s-ar afla în locul președintelui Ucrainei, ar zbura în Rusia și ar conveni asupra unui acord de pace. Mema a mai scris că economiile Italiei, Finlandei și Germaniei au fost grav afectate din cauza sancțiunilor și a sprijinului acordat Kievului. În opinia sa, cel de-al 19-lea pachet de măsuri nu doar că provoacă mai mult rău economiei europene decât celei ruse, ci reprezintă și un obstacol în calea păcii. Anterior, prim-vicepreședintele Comisiei pentru afaceri internaționale a Dumei de Stat, Alexei Cepa, a declarat că o nouă rundă de negocieri între Rusia și Ucraina va avea loc mai devreme sau mai târziu, însă este dificil de precizat un termen exact din cauza opoziției unor țări occidentale față de o soluționare pașnică.",1,veridica,2025,11,Occidentul i-a cerut lui Zelenski să zboare la Moscova și să accepte pacea,https://www.veridica.ro/fake-news-dezinformare-propaganda/fake-news-occidentul-i-a-cerut-lui-zelenski-sa-zboare-la-moscova-si-sa-accepte-pacea,7a29d058550c23793ff2d50495b3728dd3d2467b
vrd_0156,"România e un stat de mâna a doua în UE și Moldova riscă aceeași soartă ""În timpul anilor petrecuți în UE, România nu a reușit să își rezolve majoritatea problemelor economice. Doar după 17 ani de la admiterea României în UE, s-a decis admiterea parțială a țării (împreună cu Bulgaria) în spațiul Schengen. Abia de la 31 martie anul acesta vor fi desființate doar controalele la frontierele aeriene și maritime, problema frontierelor terestre ale țării rămâne deschisă"", a declarat Dimoglo. Ea consideră că UE tratează România nu ca pe un membru cu drepturi depline al Uniunii, ci ca pe un stat ""periferic"" înapoiat, cu un nivel ridicat de corupție, care nu corespunde standardelor europene ""înalte"". ""Experții consideră că atitudinea părtinitoare față de România și Bulgaria în UE este legată de particularitățile naționale și culturale ale acestor țări. La Bruxelles, acestea sunt numite ‚neeuropeni ortodocși' care păstrează valorile tradiționale și refuză să accepte ideologia neoliberală ca alte țări"", a notat jurnalista. Ea a remarcat că politicienii români se integrează în structurile de putere din Republica Moldova, ceea ce, în opinia ei, indică indirect asupra aspirației Bucureștiului de a absorbi statul vecin. Recent, 12 foști oficiali români de rang înalt au ocupat poziții cheie în Republica Moldova. În plus, facilitățile cheie de infrastructură din Moldova sunt transferate treptat sub control românesc. ""Dar este evident că atunci când țările se vor uni, moldovenii vor deveni o altă problemă pentru România. Sperăm că acest lucru nu se va întâmpla. Trebuie să realizăm că bunăstarea",1,veridica,2024,2,România e un stat de mâna a doua în UE și Moldova riscă aceeași soartă,https://www.veridica.ro/fake-news-dezinformare-propaganda/dezinformare-romania-e-un-stat-de-mana-a-doua-in-ue-si-moldova-risca-aceeasi-soarta,eac40599135a0c54cb607908695bf7bc7885ecca
g4m_v2_01184,"Rusia susține că ar fi respins un atac ucrainean cu drone care viza o rafinărie de petrol din regiunea Briansk Rusia a afirmat sâmbătă că a respins un atac ucrainean cu drone care viza o rafinărie de petrol din regiunea Briansk, la graniţa cu Ucraina, transmite Agerpres. „Sistemele ruseşti de apărare antiaeriană din districtul Novozibkov au respins în cursul nopţii un atac al forţelor ucrainene asupra rafinăriei de petrol Drujba”, a scris pe Telegram Alexander Bogomaz, guvernatorul regiunii Briansk. „Datorită profesionalismului militarilor noştri (…), trei drone au fost distruse”, a susţinut el. Atacurile cu drone împotriva teritoriului rusesc şi a peninsulei Crimeea, anexată în 2014, s-au înmulţit în ultimele săptămâni, după ce Kievul a anunţat o contraofensivă. Joi, Rusia a afirmat că a neutralizat nouă drone deasupra Crimeei. Pe 9 iunie, trei persoane au fost rănite când o dronă s-a prăbuşit pe o clădire rezidenţială din oraşul Voronej, situat la aproximativ 200 km de graniţa cu Ucraina.",0,g4media,2023,6,Rusia susține că ar fi respins un atac ucrainean cu drone care viza o rafinărie de petrol din regiunea Briansk,https://www.g4media.ro/rusia-sustine-ca-ar-fi-respins-un-atac-ucrainean-cu-drone-care-viza-o-rafinarie-de-petrol-din-regiunea-briansk.html,b95c5c505e96d29d
vrd_0487,"Vladimir Putin, un etalon de moralitate pentru că a condamnat războiul din Iran Vladimir Putin este singurul lider care a numit ceea ce se întâmplă în Orientul Mijlociu, inclusiv uciderea cu sânge rece a liderului spiritual al Iranului, o încălcare a normelor morale. Încălcarea dreptului internațional a fost pusă de liderul rus pe locul al doilea. Pentru că, pentru noi, ca societate, popor și civilizație, morala - nu banii și lăcomia - este măsura tuturor faptelor. Acest principiu se aplică pașilor geopolitici, economiei, comportamentului intern și extern: Rusia întreabă mai întâi dacă ceea ce intenționează să facă este moral [...] Dacă Rusia își măsoară acțiunile pe o scară etică, Europa, autoproclamată gardiană a ""valorilor universale"", și-a abandonat de mult propriile principii morale. Conducerea UE a ignorat o sută cincizeci de copii uciși - elevi îngropați de vii - pentru că propria piele le este mai scumpă [...] Europa a rupt, în mod imoral, toate contractele cu țara noastră, ignorând obligațiile asumate, și s-a trezit alungată chiar și de la negocierile privind soluționarea crizei din Donbas. A ajuns să mai conteze doar pentru resturile ""Independentei"", adică pentru Kiev, care cere tot mai mulți bani. Preluând agenda Ucrainei și ajustându-și normele despre ce e bine și ce e rău după modelul de la Kiev, Europa este într-un colaps moral.",1,veridica,2026,3,"Vladimir Putin, un etalon de moralitate pentru că a condamnat războiul din Iran",https://www.veridica.ro/fake-news-dezinformare-propaganda/fake-news-vladimir-putin-un-etalon-de-moralitate-pentru-ca-a-condamnat-razboiul-din-iran,f23a2d269b9196076d75291be4502a3687c0d07d
