id,url,titlu,data,sursa_site,sectiune,text_curat,nr_cuvinte,tags,autor,matched_core,matched_hybrid,audit_thematic_pass,found_on_page,calitate_extractie,label,label_numeric,hash_continut,nr_cuvinte_pre_clean,cleaning_actions
g4m_v2_01476,https://www.g4media.ro/zelenski-critica-tarile-meschine-care-nu-au-ajutat-ucraina-si-elogiaza-sprijinul-poloniei-si-al-tarilor-baltice-am-o-relatie-personala-foarte-stransa-cu-presedintele-andrze.html,"Zelenski critică țările ”meschine” care nu au ajutat Ucraina și elogiază sprijinul Poloniei și al țărilor baltice: ”Am o relație personală foarte strânsă cu președintele Andrzej Duda, în primele zile de război am vorbit doar pe Whatsapp”",2023-01-13T19:56:54+00:00,g4media.ro,,"Zelenski critică țările ”meschine” care nu au ajutat Ucraina și elogiază sprijinul Poloniei și al țărilor baltice: ”Am o relație personală foarte strânsă cu președintele Andrzej Duda, în primele zile de război am vorbit doar pe Whatsapp” Preşedintele ucrainean Volodimir Zelenski a acordat vineri un interviu televiziunii publice poloneze, în care a criticat ceea ce a numit ”meschinăria” unor ţări care nu au ajutat Ucraina în faţa invaziei ruse ori au ajutat-o doar ”la telefon” şi a elogiat Polonia şi ”atitudinea marilor naţiuni”, consemnează agenţia EFE, citată de Agerpres.ro. Răspunsul internaţional ce a urmat declanşării războiului cu Rusia a determinat Ucraina să-şi ”reevalueze” relaţiile cu multe ţări, întrucât răspunsul ”nu a fost acelaşi” din partea tuturor şi unii au fost chiar ”meschini”, a spus Zelenski. Conform preşedintelui ucrainean, Polonia şi vecinii săi baltici (Lituania, Letonia şi Estonia) s-au comportat ca adevăraţi prieteni ai ţării sale. ”Nu ne-au sprijinit la telefon, ci au fost cu noi în Ucraina. Aceasta este o prietenie adevărată şi în asta constă o alianţă”, a indicat el. La fel, a continuat Zelenski, pe parcursul ultimelor luni ”a fost de asemenea de mare importanţă atitudinea liderilor ţărilor mari, precum Olanda, Franţa, Germania sau Spania”. Insistând asupra Poloniei, el a spus că această ţară ”a primit în braţele ei milioane de ucraineni”, într-un gest ”foarte impresionant, dezinteresat”, ceea ce îl face să fie ”foarte recunoscător preşedintelui (polonez, Andrzej Duda), premierului (Mateusz Morawiecki) şi tuturor polonezilor”. ”Sunt multe lucruri pe care numai Andrzej (Duda) şi cu mine le cunoaştem,.",250,andrej duda|Polonia|razboi ucraina|Rusia|ucraina|Volodimir Zelenski,Redacția,1,0,1,73,excelenta,stire_credibila,0,f2c286ea5d1eed38,409,sursa
g4m_v2_01474,https://www.g4media.ro/germania-social-democratii-vor-sa-evite-livrarea-unor-avioane-de-lupta-ucrainei.html,"Germania: Social-democrații ar vrea să evite livrarea unor avioane de luptă Ucrainei – „Factorul decisiv este că Germania şi NATO nu sunt parte în acest război. În acelaşi timp, este important să arătăm clar preşedintelui Putin, prin toate deciziile, că respingem agresiunea rusă”",2023-01-29T19:25:58+00:00,g4media.ro,,"Germania: Social-democrații ar vrea să evite livrarea unor avioane de luptă Ucrainei – „Factorul decisiv este că Germania şi NATO nu sunt parte în acest război. În acelaşi timp, este important să arătăm clar preşedintelui Putin, prin toate deciziile, că respingem agresiunea rusă” În urma deciziei Germaniei de a livra tancuri Ucrainei, lidera Partidului Social-Democrat german (SPD), aflat la guvernare, nu a exclus în mod explicit susţinerea Ucrainei cu avioane de luptă. Întrebată, duminică, dacă exclude livrarea de avioane de luptă, Saskia Esken a declarat pentru postul ARD că Germania nu este parte a războiului şi că guvernul vrea să „evite acest lucru în viitor”. „Factorul decisiv este că Germania şi NATO nu sunt parte în acest război”, şi de aceea guvernul german este în strânsă consultare cu omologii din SUA în aceste probleme, a declarat Esken, al cărei partid conduce guvernul de coaliţie al cancelarului Olaf Scholz. În acelaşi timp, este important ca Germania să-i arate clar preşedintelui rus Vladimir Putin, prin toate deciziile, că „respingem agresiunea rusă”, a adăugat ea. Aceste remarci vin după ce guvernul german a promis miercuri Ucrainei livrarea a 14 tancuri Leopard 2 din dotarea Bundeswehr, după ce a aşteptat timp îndelungat un angajament similar din partea SUA, menţionează dpa.",206,Germania|livrare avioane Ucraina|razboi ucraina|SPD Germania,Redacția,1,0,1,73,excelenta,stire_credibila,0,9bae94683041ecb3,206,
g4m_v2_01473,https://www.g4media.ro/fost-comandant-wagner-dezertat-in-norvegia-despre-brutalitatea-lui-prigojin-diavolul-cei-care-nu-voiau-sa-lupte-erau-impuscati-in-fata-noilor-recruti-nu-exista-o-strateg.html,"Fost comandant Wagner, dezertat în Norvegia, despre brutalitatea lui ”Prigojin diavolul”: ”Cei care nu voiau să lupte erau împușcați în fața noilor recruți/ Nu există o strategie Wagner, trupele vin cu planuri din mers/ Cadavre, mai mulți prizonieri, mai multe cadavre”",2023-01-31T06:02:14+00:00,g4media.ro,,"Fost comandant Wagner, dezertat în Norvegia, despre brutalitatea lui ”Prigojin diavolul”: ”Cei care nu voiau să lupte erau împușcați în fața noilor recruți/ Nu există o strategie Wagner, trupele vin cu planuri din mers/ Cadavre, mai mulți prizonieri, mai multe cadavre” Andrei Medvedev, un fost comandant Wagner care a dezertat în Norvegia recent, a vorbit într-un interviu exclusiv pentru CNN despre brutalitatea lui ”Prigojin diavolul” și despre cum soldații sau prizonierii care refuzau să lupte erau împușcați în fața noilor recruți și aruncați în tranșeele pe care aceștia din urmă le săpau. Medvedev povestește cum Wagner nu avea o strategie anume, ci trupele veneau ”din mers” cu planurile de atac: Brutalitatea la care a fost martor în Ucraina și modul în care trupele ”s-au transformat în carne de tun” l-au împins în cele din urmă să dezerteze. Medvedev a trecut granița cu Norvegia pe un lac înghețat, spune el, ajutat de camuflajul hainelor albe. Luptătorii Wagner erau adesea trimiși în luptă fără prea multe indicații, iar tratamentul aplicat de companie recruților reticenți era nemilos, a declarat Andrei Medvedev pentru Anderson Cooper de la CNN, filiala din Oslo, capitala Norvegiei, unde fostul militar Wagner caută azil după ce a trecut granița arctică a acestei țări dinspre Rusia. CNN precizează că nu a reușit să verifice în mod independent relatarea sa, iar Wagner nu a răspuns la o solicitare de comentarii. Tânărul de 26 de ani, care spune că a servit anterior în armata rusă, s-a alăturat lui Wagner ca voluntar. El.",250,andrei medvedev|bucatarul lui putin|dezertori|Evgheni Prigojin|razboi rusia|razboi ucraina|recomandate|trupele wagner,Andreea Pavel,1,0,1,73,excelenta,stire_credibila,0,ab1d941ef0cbda19,858,
g4m_v2_01468,https://www.g4media.ro/video-un-fost-ofiter-rus-spune-ca-si-a-vazut-superiorii-cum-torturau-prizonieri-ucraineni-si-ii-amenintau-cu-violenta-sexuala-ne-putea-impusca-nu-ne-puteam-opune-umbla-beat-tot-timpul.html,"VIDEO Un fost ofițer rus spune că și-a văzut superiorii cum torturau prizonieri ucraineni și îi amenințau cu violența sexuală: ”Ne putea împușca, nu ne puteam opune. Umbla beat tot timpul”/ Konstantin Yefremov cere azil în SUA după ce ar fi refuzat să se întoarcă pe front",2023-02-02T17:32:44+00:00,g4media.ro,,"Un fost ofițer rus spune că și-a văzut superiorii cum torturau prizonieri ucraineni și îi amenințau cu violența sexuală: ”Ne putea împușca, nu ne puteam opune. Umbla beat tot timpul”/ Konstantin Yefremov cere azil în SUA după ce ar fi refuzat să se întoarcă pe front Un fost ofițer superior al armatei ruse spune că și-a văzut camarazii torturând prizonieri de război în Ucraina, într-o rară mărturie a unui martor ocular din rândurile Moscovei care răspunde acuzațiilor larg răspândite privind crimele de război rusești. În cadrul unei declarații acordate joi lui Erin Burnett de la CNN, fostul locotenent Konstantin Yefremov a declarat că a fost martorul unui comandant adjunct care tortura prizonieri de război și îi amenința cu violența sexuală, adăugând că nimeni nu a îndrăznit să vorbească împotriva ofițerului de teamă că acesta îi va ataca și pe ei. „Ar fi putut cu ușurință să mă împuște pe mine sau pe oricine altcineva care ar fi spus că nu este de acord cu acest lucru”, a declarat Yefremov, adăugând că a asistat personal la interogatoriile a trei prizonieri de război ucraineni. „În plus, era beat non-stop și se plimba cu mașina prin satele din apropiere, unde se aflau alți prizonieri de război. Din câte știu eu, mai erau aproximativ 20 de prizonieri de război ucraineni”, a spus el. Yefremov este cel mai înalt ofițer rus care a vorbit deschis despre ceea ce a văzut în Ucraina. El speră acum că Statele Unite îi vor acorda azil, după ce a.",250,Konstantin Yefremov|razboi rusia|razboi ucraina|recomandate|tortura soldati ucraina|video|Vladimir Putin,Andreea Pavel,1,0,1,73,excelenta,stire_credibila,0,517f183ed2f1028d,677,prefix_editorial
g4m_v2_01465,https://www.g4media.ro/germania-are-dovezi-de-crime-de-razboi-in-ucraina-in-numar-de-trei-cifre-transmite-procurorul-general-peter-frank.html,"Germania are dovezi de crime de război în Ucraina ”în număr de trei cifre”, transmite procurorul general Peter Frank",2023-02-04T14:00:57+00:00,g4media.ro,,"Germania are dovezi de crime de război în Ucraina ”în număr de trei cifre”, transmite procurorul general Peter Frank Germania are dovezi ale crimelor de război din Ucraina „de ordinul a trei cifre”, a declarat procurorul general al țării, citat de news.sky.com. Peter Frank a declarat pentru ziarul german Welt Am Sonntag că a văzut necesitatea unui proces judiciar la „nivel internațional”. „În prezent, de exemplu, ne concentrăm asupra crimelor în masă de la Bucea sau asupra atacurilor împotriva infrastructurii civile ucrainene”, a declarat Frank pentru ziar. Până în prezent, procurorii dispun de elemente de probă de „trei cifre”, a adăugat el, fără a detalia însă. Ucraina și aliații săi occidentali au acuzat forțele rusești că au comis atrocități la Bucea, un oraș satelit al Kievului, la scurt timp după ce și-au lansat invazia în februarie anul trecut. Moscova a negat acuzațiile. Rusia a vizat, de asemenea, infrastructuri-cheie din Ucraina, dar neagă că a vizat în mod deliberat civili. Germania a început să colecteze probe în martie 2022 pentru a urmări în justiție posibile crime de război, inclusiv prin intervievarea refugiaților ucraineni și prin evaluarea informațiilor publice disponibile, a declarat Frank, adăugând că procurorii germani nu au investigat încă persoane specifice. „Ne pregătim pentru un posibil proces judiciar ulterior – fie că este vorba despre noi în Germania, fie că este vorba despre partenerii noștri străini, fie că este vorba despre un tribunal internațional”, a adăugat el. Întrebat cine ar trebui să fie judecat, Frank a spus că liderii statului.",250,bucea|Germania|peter frank|procuror general|razboi rusia|razboi ucraina,Redacția,1,0,1,72,excelenta,stire_credibila,0,579ca61bb4ce1b73,297,
g4m_v2_01462,https://www.g4media.ro/ucraina-anunta-ca-e-pregatita-sa-respinga-o-posibila-ofensiva-rusa-in-februarie-nu-toate-armele-occidentale-vor-ajunge-la-timp-dar-suntem-pregatiti-rusia-sustine-ca-kievul-prega.html,Ucraina anunță că e pregătită să respingă o posibilă ofensivă rusă în februarie / ”Nu toate armele occidentale vor ajunge la timp. Dar suntem pregătiţi” / Rusia susţine că Kievul pregăteşte un atac sub steag fals,2023-02-05T18:13:52+00:00,g4media.ro,,"Ucraina anunță că e pregătită să respingă o posibilă ofensivă rusă în februarie / ”Nu toate armele occidentale vor ajunge la timp. Dar suntem pregătiţi” / Rusia susţine că Kievul pregăteşte un atac sub steag fals Ucraina se aşteaptă la o eventuală ofensivă majoră din partea Rusiei în luna februarie, dar Kievul are rezervele necesare pentru a respinge forţele Moscovei, chiar dacă noile livrări de armament occidental nu vor efectuate până atunci, a declarat duminică ministrul ucrainean al apărării Oleksii Reznikov, citat de Reuters şi media ucrainene. În acelaşi timp, Ministerul rus al Apărării a acuzat – duminică – Kievul că s-ar pregăti să arunce în aer clădiri din Kramatorsk, oraş din estul Ucrainei, pentru a da vina apoi pe Moscova că a comis crime de război şi că a ţintit civili într-o operaţiune sub steag fals. Ministerul Apărării de la Moscova nu a oferit nicio probă care să-i susţină acuzaţia, pe care a prezentat-o într-o postare pe reţelele de socializare, afirmând că presupusele atacuri vor fi folosite de Kiev pentru a exercita presiuni asupra guvernelor occidentale pentru a-i creşte livrările de arme. Reuters subliniază că nu a putut verifica în mod independent informaţiile niciuneia dintre tabere. O rachetă rusească a ucis cel puţin trei persoane când a lovit o clădire rezidenţială joi la Kramatorsk, a indicat poliţia ucraineană. Rusia nu a comentat public această lovitură. Moscova neagă că vizează persoane civile în ceea ce numeşte „operaţiune militară specială”. Kievul şi guvernele occidentale susţin că sute de civili au fost.",250,arme occidentale|ofensiva|ofensiva in februarie|razboi ucraina,Redacția,1,0,1,72,excelenta,stire_credibila,0,4f0bbd365ee5b565,637,
g4m_v2_01459,https://www.g4media.ro/istoricul-armand-gosu-anunta-ca-moscova-l-a-pus-pe-lista-agentilor-straini-gosu-si-a-sustinut-doctoratul-la-moscova-in-istoria-politicii-externe-a-imperiului-rus-si-a-fost-consili.html,"Istoricul Armand Goșu anunță că Moscova l-a pus pe lista ”agenților străini”/ Goșu și-a susținut doctoratul la Moscova, în istoria politicii externe a Imperiului rus, și a fost consilier al MAE pe spațiul ex-sovietic",2023-02-09T10:41:28+00:00,g4media.ro,,"Istoricul Armand Goșu anunță că Moscova l-a pus pe lista ”agenților străini”/ Goșu și-a susținut doctoratul la Moscova, în istoria politicii externe a Imperiului rus, și a fost consilier al MAE pe spațiul ex-sovietic Istoricul Armand Goșu a transmis, printr-un mesaj publicat miercuri, pe Facebook, că autoritățile de la Moscova l-au pus pe lista ”agenților străini”, iar acest lucru s-ar fi întâmplat în 16 iunie 2021, în aceeași zi cu generalul american în rezervă Ben Hodges: Conform CV-ului publicat pe site-ul Universității București , Armand Goșu și-a susținut doctoratul în istoria Rusiei la Universitatea din Moscova, teza fiind susținută în ședință publică în cadrul Catedrei de Istoria Rusiei, în aprilie 1998. Goșu s-a specializat în istoria politicii externe a Imperiului rus. În 2006 a fost expert în Comisia Prezidențială pentru Analiza Dictaturii Comuniste din România, iar între 2010-2012 a fost consilierul pe spațiul ex-sovietic al ministrului de Externe al României de la acea vreme, Theodor Baconschi.",156,agenti straini|armand gosu|razboi ucraina|recomandate|Rusia,Andreea Pavel,1,0,1,72,excelenta,stire_credibila,0,85b9d1e4c6dc4ad7,156,
g4m_v2_01456,https://www.g4media.ro/zelenski-dupa-lucrarile-de-refacere-a-capacitatilor-energetice-ale-ucrainei-nu-este-inca-o-victorie-decisiva-acesta-anunta-sanctiuni-pentru-200-de-persoane-care-lucreaza-pentru-industria-nucleara-r.html,"Zelenski, după lucrările de refacere a capacităţilor energetice ale Ucrainei: Nu este încă o victorie decisivă / El anunță sancţiuni pentru 200 de persoane care lucrează pentru industria nucleară rusă",2023-02-12T21:04:08+00:00,g4media.ro,,"Zelenski, după lucrările de refacere a capacităţilor energetice ale Ucrainei: Nu este încă o victorie decisivă / El anunță sancţiuni pentru 200 de persoane care lucrează pentru industria nucleară rusă Preşedintele ucrainean Volodimir Zelenski a afirmat, duminică, într-un nou discurs, că faptul că prin multă muncă s-au refăcut într-o oarecare măsură capacităţiile energetice ale ţării nu reprezintă “o victorie decisivă pe frontul energetic”, el precizând că ar putea exista noi “atacuri teroriste” dinspre Rusia, relatează news.ro “ Astăzi aş dori să-i laud personal pe toţi cei care refac capacităţile energetice ale ţării noastre. Astăzi şi ieri nu au fost multe întreruperi pentru majoritatea ucrainenilor. Desigur, din păcate, încă au existat restricţii în unele zone, acolo unde gradul de distrugere este prea mare. Bineînţeles, odată cu începerea noii săptămâni, consumul va creşte şi, prin urmare, vor exista programe de întreruperi planificate. Dar însuşi faptul că putem avea zile atât de liniştite din punct de vedere energetic după atacurile teroriste constante cu rachete şi Shahed, după atacul masiv cu rachete din această săptămână arată profesionalismul inginerilor noştri şi dăruirea extraordinară a tuturor celor care lucrează în sistemul nostru energetic. Trebuie să înţelegem că aceasta nu este încă o victorie decisivă pe frontul energetic. Din păcate, ar putea exista noi atacuri teroriste dinspre Rusia. Pot exista noi restricţii dacă vor fi noi distrugeri şi creşterea consumului. Dar astăzi şi ieri sunt încă o dovadă că, lucrând împreună şi ajutându-se reciproc, ucrainenii fac lucruri grozave. Aşa că să rămânem uniţi! Nu irosi nici măcar.",250,razboi ucraina|Volodimir Zelenski|zelenski,Redacția,1,0,1,72,excelenta,stire_credibila,0,b4056efa524f56b1,436,
g4m_v2_01454,https://www.g4media.ro/rusia-aduna-avioane-de-lupta-si-elicoptere-in-apropierea-granitei-cu-ucraina-sustin-oficiali-occidentali-din-serviciile-de-informatii.html,"Rusia adună avioane de luptă și elicoptere în apropierea graniței cu Ucraina, susțin oficiali occidentali din serviciile de informații",2023-02-14T20:37:22+00:00,g4media.ro,,"Rusia adună avioane de luptă și elicoptere în apropierea graniței cu Ucraina, susțin oficiali occidentali din serviciile de informații Rusia adună avioane de luptă și elicoptere în apropierea graniței cu Ucraina, au declarat oficiali occidentali din serviciile de informații, transmite news.sky.com. Vestea acestei evoluții a provocat scenarii potrivit cărora forțele lui Vladimir Putin încearcă să transforme invazia lor într-o „luptă aeriană”. În timp ce secretarul american al Apărării, Lloyd Austin, a insistat că SUA nu văd semne iminente de „atac aerian masiv”, se spune că acesta a subliniat amenințarea reprezentată de forța aeriană semnificativă a Rusiei în cadrul unei întâlniri cu aliații NATO de astăzi. Vestea că sunt adunate avioane în apropierea graniței dintre Rusia și Ucraina a alimentat cererile de expediere urgentă de echipamente de apărare aeriană și muniție de artilerie către Kiev. Ziarul citează un oficial de rang înalt al administrației americane, care a declarat cu privire la ședința de informare lui Austin pentru aliați: Problema livrării de avioane de luptă Ucrainei nu e acum cea mai urgentă, deşi e o discuţie care se poartă între aliaţi, urgent e să se livreze ce s-a promis deja, precum vehicule blindate şi tancuri, a declarat marţi dimineaţă secretarul general al NATO, Jens Stoltenberg. Jens Stoltenberg a oferit acest răspuns când a fost întrebat înainte de o reuniune a Grupului de contact pentru Ucraina dacă pregăteşte o decizie unanimă a NATO privind livrarea de avioane de luptă Ucrainei, după cum a solicitat premierul polonez Mateusz Morawiecki la reuniunea Consiliului European de.",250,Avioane de lupta|razboi ucraina|recomandate|Rusia,Andreea Pavel,1,0,1,72,excelenta,stire_credibila,0,1daec26ad7d0a369,429,
g4m_v2_01453,https://www.g4media.ro/guvernul-vrea-sa-infiinteze-noi-companii-de-stat-sub-pretextul-razboiului-din-ucraina-proiectul-primul-pe-ordinea-de-zi-a-sedintei-de-miercuri.html,"Guvernul vrea să înființeze noi companii de stat, sub pretextul războiului din Ucraina/ Proiectul, primul pe ordinea de zi a ședinței de miercuri",2023-02-14T20:47:55+00:00,g4media.ro,,"Guvernul vrea să înființeze noi companii de stat, sub pretextul războiului din Ucraina/ Proiectul, primul pe ordinea de zi a ședinței de miercuri Un proiect de ordonanță de urgență inițiat de ministrul Transporturilor, Sorin Grindeanu, și ministrul Economiei, Florin Spătaru, și avizat de miniștri de Finanțe, al Muncii și de Justiție, prevede înființare de noi companii de stat. Inițiativa urmează să fie pusă pe ordinea de zi în deschiderea ședinței de Guvern de miercuri, 15 februarie. În document se arată că ”Guvernul va putea înfiinţa, în condiţiile legii, în numele statului, societăţi cu capital de stat, în România şi în străinătate, la propunerea ministerelor de resort” care vor putea participa la majorarea capitalului social al societăţilor. În nota de fundamentare se arată că în prezent nu există dispoziții legale care să permită tuturor ministerelor, atunci când împrejurările distincte o impun, să înființeze societăți și ”se impune asigurarea cadrului legal pentru a permite statului român să înființeze societăți prin intermediul unor acte cu aplicabilitate individuală”. Inițiatorii motivează proiectul invocând ”evenimentele extraordinare” din perioada 2020-2022, de la pandemie la război, dar și reformele asumate de România prin PNRR: Guvernul susține și că în contextul războiului din Ucraina, ”statul român trebuie să aibă asigurate în orice moment condițiile pentru a deservi interesele strategice și geopolitice în domeniile afectate de situațiile extraordinare ce ar putea interveni (situația epidemiologică/pandemie, război, criză energetică, alimentară), inclusiv deținerea de companii apte să execute necondiționat serviciile necesare combaterii efectelor situațiilor antemenționate”.",242,companii de stat|guvern ciuca|ordonanta de urgenta|PNRR|razboi ucraina|sorin grindeanu,Mihai Roman,1,0,1,72,excelenta,stire_credibila,0,7745cd1c253c11f1,242,
