id,sursa_site,an,titlu,label_numeric,pred,prob_cls1,nr_cuvinte,nr_ghilimele,densitate_ghilimele,nr_paragrafe,nr_non_ascii,pct_non_ascii
vrd_0134,veridica.ro,2022,PROPAGANDĂ DE RĂZBOI: Masacrul de la Izium a fost o înscenare menită să compromită armata rusă,1,0,0.0027013276703655,196,8,0.04081632653061224,1,64,4.930662557781202
vrd_0446,veridica.ro,2024,Rusia a invadat România doar o dată,1,1,0.673976480960846,312,7,0.022435897435897436,1,131,7.3348264277715565
vrd_0543,veridica.ro,2025,Propunerea rusă de pace - singura șansă de salvare a Ucrainei,1,1,0.6715071201324463,155,2,0.012903225806451613,1,56,6.021505376344086
vrd_0642,veridica.ro,2026,"Ucraina e distrusă de liderii săi, nu de război",1,0,0.0016340266447514,188,6,0.031914893617021274,1,43,3.3938437253354383
vrd_0311,veridica.ro,2023,Aderarea Ucrainei și Moldovei va ruina UE,1,0,0.0173384975641965,142,8,0.056338028169014086,1,51,5.549510337323178
vrd_0075,veridica.ro,2022,Occidentul luptă cu Rusia prin intermediul Ucrainei,1,1,0.6761296391487122,326,8,0.024539877300613498,1,124,5.975903614457832
vrd_0054,veridica.ro,2022,Zelenski condiționează drepturile comunității românești din Ucraina de ajutorul Bucureștiului,1,0,0.0062762186862528,283,11,0.038869257950530034,1,109,6.11672278338945
vrd_0135,veridica.ro,2022,PROPAGANDĂ DE RĂZBOI: Mobilizarea parțială ordonată de Putin va preveni un dezastru nuclear și va duce la o dezescaladare a conflictului și un dialog diplomatic,1,0,0.0019199207890778,172,3,0.01744186046511628,1,53,4.62478184991274
vrd_0084,veridica.ro,2022,La Chișinău au sosit agenți FBI pentru a împinge Republica Moldova către confruntări militare cu Rusia,1,0,0.0231955926865339,193,9,0.046632124352331605,1,52,4.046692607003891
vrd_0288,veridica.ro,2023,"Specialiști NATO din România și Olanda, uciși în Ucraina",1,0,0.0027559937443584,170,2,0.011764705882352941,1,49,4.657794676806084
vrd_0440,veridica.ro,2024,Zelenski prelungește războiul la indicația Occidentului,1,1,0.6721014380455017,162,2,0.012345679012345678,1,52,5.383022774327122
vrd_0425,veridica.ro,2024,Conducerea Republicii Moldova încearcă să interzică creștinismul și să readucă țara la păgânism,1,0,0.0028145348187536,214,2,0.009345794392523364,1,90,6.36042402826855
vrd_0575,veridica.ro,2025,România nu primește compensații pentru sprijinul dat Ucrainei,1,1,0.6813578605651855,94,0,0.0,1,39,5.972434915773354
vrd_0338,veridica.ro,2024,"Rusia apără de nazism teritoriul său, Novorossia",1,1,0.5590872764587402,119,0,0.0,1,44,5.307599517490953
vrd_0273,veridica.ro,2023,"Maia Sandu a închis 200 de școli, alungând tinerii din R. Moldova",1,1,0.671649158000946,233,19,0.0815450643776824,1,90,5.780346820809249
vrd_0476,veridica.ro,2025,Șeful NATO este de acord cu cedarea Groenlandei către SUA,1,0,0.0018622170900925,207,2,0.00966183574879227,1,79,6.335204490777866
vrd_0615,veridica.ro,2025,"Un înalt oficial ucrainean a ""dezertat""",1,0,0.0026702866889536,202,2,0.009900990099009901,1,66,5.427631578947369
vrd_0291,veridica.ro,2023,"Infrastructura Moldovei, dezvoltată pentru Ucraina",1,0,0.0181684643030166,499,8,0.01603206412825651,1,175,5.185185185185185
vrd_0632,veridica.ro,2025,Ucraina e o dictatură și nu poate organiza alegeri libere,1,0,0.0573063567280769,285,8,0.028070175438596492,1,80,3.992015968063872
vrd_0198,veridica.ro,2023,UE a trimis militari în Ucraina înainte de 2022 pentru a slăbi Rusia,1,0,0.0023542908020317,152,6,0.039473684210526314,1,43,4.516806722689076
vrd_0566,veridica.ro,2025,"Manualele din Moldova, rescrise pentru a justifica confruntarea cu Rusia",1,0,0.0135814137756824,173,8,0.046242774566473986,1,48,4.351767905711696
vrd_0189,veridica.ro,2022,"PROPAGANDĂ DE RĂZBOI: Zelenski a ucis peste 50 de mii de femei, mobilizându-le în armată",1,1,0.6704566478729248,92,2,0.021739130434782608,1,24,4.606525911708253
