id_dataset,url,sursa,data_publicarii,an,titlu,titlu_clean,text_curat,nr_cuvinte_raw,nr_cuvinte_truncat,label,label_numeric,hash_continut
d24_v1_2181893,https://www.digi24.ro/stiri/externe/un-membru-al-administratiei-rusesti-de-ocupatie-din-herson-a-fost-ranit-dupa-ce-i-a-explodat-masina-soferul-a-murit-pe-loc-2181893,digi24,2022-12-12 23:14,2022,Un membru al administrației rusești de ocupație din Herson a fost rănit după ce i-a explodat mașina. Șoferul a murit pe loc,Un membru al administrației rusești de ocupație din Herson a fost rănit după ce i-a explodat mașina. Șoferul a murit pe loc,"Un membru al administrației rusești de ocupație din Herson a fost rănit după ce i-a explodat mașina. Șoferul a murit pe loc. Unul dintre așa-zișii „oficiali” ai administrației rusești de ocupație din regiunea ucraineană Herson a fost rănit, luni, după ce mașina sa a explodat. Vitali Buliuk, așa-zisul „prim-viceguvernator” al administrației de ocupație a invadatorilor din Herson, regiune despre care regimul Putin susține că a anexat-o la Rusia, în ciuda faptului că nu o controlează în totalitate, „a fost rănit în urma exploziei maşinii sale”, a declarat Vadim Ilmiev, o altă marionetă a rușilor proclamat „ministru regional al sănătății” în Herson. „Starea lui este stabilă, de o gravitate moderată”, a declarat Ilmiev, conform Agerpres, care citează agenția rusească Tass. Potrivit lui Ilmiev, „şoferul maşinii a murit pe loc”. „O mină direcţională a explodat, maşina a fost carbonizată”, a precizat el, citat de agenţia de presa rusească Interfax. Buliuk, responsabil cu problemele economice din regiune, „este internat la Simferopol”, în Crimeea anexată, a spus Vladimir Rogov, șeful administrației de ocupație a rușilor din Zaporojie. CNN scrie că există informații contradictorii cu privire la starea lui Buliuk - în ciuda susținerilor lui Ilmiev, canalul de Telegram oficial al ocupanților ruși din Herson scrie că Buliuk „a scăpat în mod miraculos” și că „viața lui nu este în pericol”. Explozia s-ar fi produs în orașul Skadovsk și „un civil a fost ucis”, se mai arată în postarea de pe Telegram.",219,237,Adevărat,0,9e6e7e077e9bf6399262682dff721a257a10b2c1
d24_v1_2194175,https://www.digi24.ro/stiri/externe/sua-il-ironizeaza-pe-putin-dupa-ce-dictatorul-rus-a-recunoscut-ca-e-razboi-in-ucraina-2194175,digi24,2022-12-24 07:50,2022,SUA îl ironizează pe Putin după ce dictatorul rus a recunoscut că e „război” în Ucraina,SUA îl ironizează pe Putin după ce dictatorul rus a recunoscut că e „război” în Ucraina,"SUA îl ironizează pe Putin după ce dictatorul rus a recunoscut că e „război” în Ucraina. Statele Unite au lansat, vineri, un apel, pe un ton ironic, dictatorului rus, Vladimir Putin, la recunoaşterea realităţii conflictului din Ucraina şi retragerea trupelor sale după ce a folosit cuvântul „război” , interzis în Rusia, în cursul unei conferinţe de presă. Declanşată pe 24 februarie, invazia rusească în Ucraina este denumită oficial în Rusia drept „operaţiune militară specială”, un termen ridicol folosit de dictatura de la Kremlin pentru a nu recunoaște faptul că poartă un război de agresiune împotriva țării vecine. Autorităţile ruse au introdus o lege care prevede pedepse grele cu închisoarea pentru orice publicare de informaţii despre armata rusă considerate „false” şi mai multe persoane au fost condamnate, în special după ce au numit public acest conflict drept „război”. Cu toate acestea, joi, într-o conferinţă de presă, Vladimir Putin a folosit acest cuvânt în timp dădea asigurări că doreşte ca războiul din Ucraina să se încheie „cât mai curând posibil”. Putin a ținut un discurs la o zi după vizita președintelui Volodimir Zelenski la Casa Albă. „Din 24 februarie, Statele Unite şi restul lumii ştiu că «operaţiunea militară specială» a fost un război neprovocat şi nejustificat împotriva Ucrainei”, a afirmat un purtător de cuvânt al Departamentului de Stat american. „În cele din urmă, după 300 de zile, Putin i-a spus războiului pe nume”, a adăugat el. „Ca următor pas în recunoaşterea realităţii, îl îndemnăm să pună capăt acestui război prin retragerea trupelor sale din Ucraina”, a mai afirmat purtătorul de cuvânt. „Agresiunea Rusiei împotriva suveranităţii statului vecin a provocat moartea, distrugerea şi strămutarea unor populaţii”, indiferent de terminologia folosită de Putin, a continuat Departamentul de Stat. La rândul său, un deputat municipal rus din Sankt-Petersburg, Nikita Iuferev, a anunţat că a depus o plângere împotriva lui Vladimir Putin pe care îl acuză că a susținut „informaţii false” folosind cuvântul „război” pentru a descrie „operaţiunea” din Ucraina. Această cerere nu are şanse de reuşită, cu atât mai mult cu cât textul deputatului local conţine mai multe erori factuale, precum data discursului lui Putin sau chiar numele dictatorului, scris într-un loc la feminin.",347,359,Adevărat,0,8769523156f336a3ff2aca9939eab3621b167fdb
d24_v1_2151393,https://www.digi24.ro/stiri/externe/directorul-cia-il-avertizeaza-pe-seful-spionajului-rus-ca-moscova-nu-trebuie-sa-foloseasca-arme-nucleare-2151393,digi24,2022-11-14 23:12,2022,Directorul CIA îl avertizează pe șeful spionajului rus că Moscova nu trebuie să folosească arme nucleare,Directorul CIA îl avertizează pe șeful spionajului rus că Moscova nu trebuie să folosească arme nucleare,"Directorul CIA îl avertizează pe șeful spionajului rus că Moscova nu trebuie să folosească arme nucleare. Directorul agenției americane de spionaj CIA, William Burns, urma să se întâlnească luni la Ankara cu omologul său rus Serghei Narîşkin, şeful serviciului de spionaj al Moscovei. Potrivit Casei Albe, oficialul american intenţionează să transmită Moscovei un avertisment împotriva oricărui atac nuclear. ACTUALIZARE Purtătorul de cuvânt al Kremlinului a confirmat că au avut loc discuții la Ankara, la inițiativa părții americane. „Aceste negocieri au avut loc într-adevăr. A fost inițiativa părții americane”, a declarat Dmitri Peskov, potrivit TASS. El nu a precizat ce s-a discutat în cadrul întâlnirii. Știrea inițială Jurnaliștii AFP nu au reuşit să confirme imediat dacă întâlnirea celor doi lideri ai serviciilor de informaţii externe a avut loc. Un purtător de cuvânt al Consiliului Naţional de Securitate al SUA a declarat că William Burns „nu poartă niciun fel de negocieri”, ci un mesaj privind „consecinţele utilizării armelor nucleare de către Rusia şi riscurile de escaladare a stabilităţii strategice”. Directorul CIA ar mai urma să discute şi despre cazurile cetăţenilor americani deţinuţi „în mod injust” în Rusia. Printre aceştia se află baschetbalista Brittney Griner, condamnată la nouă ani de închisoare pentru trafic de droguri, deşi se afla în posesia unei cantităţi neînsemnate, şi fostul militar Paul Whelan. Preşedintele Statelor Unite, Joe Biden, şi-a exprimat săptămâna trecută speranţa că liderul de la Kremlin, Vladimir Putin, va fi mai dispus să discute cu Washingtonul despre un schimb de deţinuţi, aşa cum s-a mai efectuat şi de alte dăţi. France Presse menţionează că întâlniri la nivelul celei dintre Burns şi Narîşkin au fost foarte rare de la începutul invaziei ruse în Ucraina, pe 24 februarie. SUA şi Rusia au menţinut însă canale de comunicare, în special prin ambasada americană la Moscova, pentru problemele bilaterale şi pentru mesaje legate de Ucraina.",292,305,Adevărat,0,fae885a6cf2fe40890a1d83a5dce0d68572bcd29
d24_v1_2186573,https://www.digi24.ro/stiri/externe/croatia-refuza-sa-participe-la-misiunea-ue-de-sprijinire-a-armatei-ucrainene-2186573,digi24,2022-12-16 18:18,2022,Croația refuză să participe la misiunea UE de sprijinire a armatei ucrainene,Croația refuză să participe la misiunea UE de sprijinire a armatei ucrainene,"Croația refuză să participe la misiunea UE de sprijinire a armatei ucrainene. Parlamentarii croați au respins la limită, vineri după-amiază, o propunere care prevedea participarea ţării la Misiunea Uniunii Europene de susţinere a armatei ucrainene, inclusiv prin instruirea militarilor în state europene. După ore întregi de dezbateri aprinse care au reflectat diviziunile profunde dintre premier și președintele țării, Parlamentul de la Zagreb nu a putut întruni majoritatea pentru aprobarea proiectului, scrie Reuters . Era nevoie de o majoritate de două treimi pentru a aproba propunerea care ar fi inclus permisiunea ca până la 100 de soldați ucraineni să fie antrenați în Croația în următorii doi ani, la care s-a opus președintele Zoran Milanovic, care este comandantul suprem al forțelor armate croate. Din cei 107 parlamentari care au votat în legislativul de 151 de locuri, 97 au susţinut decizia, iar zece au fost împotrivă. Deputații opoziției au declarat că nu doresc să devină ostatici ai dezacordului politic al liderilor de vârf și au spus că constituția nu prevede voturi parlamentare în chestiuni aprobate în mod normal de președinte în acord cu guvernul. Ca răspuns la invazia Rusiei în Ucraina începută în februarie, Uniunea Europeană a convenit în octombrie să înființeze Misiunea de asistență militară în sprijinul Ucrainei (EUMAM Ucraina) și a numit un general polonez pentru a conduce antrenamentele care vor avea loc în cea mai mare parte în Polonia. Milanovic a refuzat să ia în considerare propunerea guvernului ca Croația să se alăture EUMAM Ucraina. El a declarat că Croația nu ar trebui să fie implicată în război și că propunerea ar încălca Constituția, deoarece nu a reușit să clarifice baza pentru declararea Ucrainei drept aliat, având în vedere că aceasta nu este membră a UE sau a Organizației Tratatului Atlanticului de Nord (NATO). Guvernul a trimis apoi propunerea parlamentului, în speranța de a obține majoritatea de două treimi necesară pentru a adopta decizii în materie militară. „Participarea la această misiune militară este doar o decizie coerentă, principială și rațională a Croației, în interesul său național”, a declarat premierul Andrej Plenkovic înaintea votului, respingând criticile potrivit cărora ar fi fost încălcate procedurile legale.",344,353,Adevărat,0,990058c9b764623ef9af215c20f97b8641c7737c
d24_v1_2175881,https://www.digi24.ro/stiri/externe/numarul-persoanelor-care-trec-granita-ucrainei-spre-ue-a-ramas-constant-in-ciuda-bombardamentelor-rusesti-2175881,digi24,2022-12-06 22:18,2022,"Numărul persoanelor care trec graniţa Ucrainei spre UE a rămas constant, în ciuda bombardamentelor ruseşti","Numărul persoanelor care trec graniţa Ucrainei spre UE a rămas constant, în ciuda bombardamentelor ruseşti","Numărul persoanelor care trec graniţa Ucrainei spre UE a rămas constant, în ciuda bombardamentelor ruseşti. Agenţia UE pentru protecţia frontierelor, Frontex, a transmis marţi că nu a identificat schimbări semnificative în privinţa numărului de persoane care traversează graniţa Ucrainei spre blocul comunitar, în ciuda atacurilor dure ale Rusiei asupra infrastructurii esenţiale a ţării, informează Agerpres. În ultima săptămână, 229.542 persoane au părăsit Ucraina pentru o ţară din UE, în timp ce 208.988 persoane s-au întors în Ucraina din blocul comunitar, a transmis Frontex. De la începutul invaziei ruse la 24 februarie, Frontex a înregistrat 11,9 milioane de intrări din Ucraina în UE şi aproape 9,2 milioane de ieşiri din UE spre Ucraina. Aceste date nu arată câte persoane au părăsit Ucraina ca refugiaţi de război, în contextul în care Frontex înregistrează de asemenea şi persoanele care trec frontiera pentru scurt timp, cu scopul de a face cumpărături peste graniţă. În plus, refugiaţii se întorc deseori în Ucraina pentru perioade scurte, părăsind apoi din nou ţara. Conform agenţiei ONU pentru refugiaţi, UNHCR, aproximativ opt milioane de ucraineni au căutat protecţie în străinătate, majoritatea în Polonia. Ucraina are graniţa cu Polonia, Slovacia, Ungaria şi România, state membre ale UE, precum şi cu Belarus şi Republica Moldova, care nu sunt ţări din blocul comunitar. Cea mai lungă graniţă a sa este cu Rusia.",208,220,Adevărat,0,fc4ef37294dc81540fd95ffd3871011e75f1b3fa
d24_v1_2195125,https://www.digi24.ro/stiri/externe/putin-spune-ca-e-gata-sa-negocieze-cu-toti-cei-implicati-in-conflictul-din-ucraina-pentru-gasirea-unor-solutii-acceptabile-2195125,digi24,2022-12-25 12:28,2022,Putin spune că e gata să negocieze cu toţi cei implicaţi în conflictul din Ucraina pentru găsirea unor „soluţii acceptabile”,Putin spune că e gata să negocieze cu toţi cei implicaţi în conflictul din Ucraina pentru găsirea unor „soluţii acceptabile”,"Putin spune că e gata să negocieze cu toţi cei implicaţi în conflictul din Ucraina pentru găsirea unor „soluţii acceptabile”. Rusia este gata să negocieze cu toate părţile implicate în conflictul din Ucraina, a declarat preşedintele rus Vladimir Putin, informează duminică Reuters. ""Suntem gata să negociem cu toţi cei implicaţi în vederea unor soluţii acceptabile, dar asta depinde de ei - nu noi suntem aceia care refuză să negocieze, ei sunt"", a susţinut Putin. El a susţinut că Rusia acţionează în ""direcţia cea bună"" în Ucraina deoarece Occidentul, condus de SUA, încearcă să divizeze Rusia. ""Cred că acţionăm în direcţia cea bună, ne apărăm interesele naţionale, interesele cetăţenilor noştri, ale poporului nostru. Şi nu avem altă variantă decât să ne protejăm cetăţenii"", a afirmat liderul de la Kremlin într-un interviu difuzat duminică la televiziunea de stat Rossia 1. ""Totul pleacă de la politica adversarilor noştri geopolitici, care caută să divizeze Rusia, Rusia istorică"", a acuzat Putin, care a dat asigurări că ""obiectivul"" Moscovei este ""cu totul altul: să unească poporul rus"", potrivit AFP, citată de Agerpres. Totodată, Putin s-a declarat sigur ""100%"" că Rusia ""va distruge"" rachetele americane Patriot livrate Kievului. Invazia Rusiei în Ucraina, începută la 24 februarie, a declanşat cel mai sângeros conflict în Europa de la cel de-al Doilea Război Mondial şi cea mai mare confruntare între Moscova şi Occident de la criza rachetelor din Cuba, din 1962, aminteşte Reuters, care remarcă faptul că, până acum, nu par a exista semne că războiul se va încheia. Kremlinul spune că va lupta până când toate obiectivele sale sunt îndeplinite, în timp ce Kievul declară că se va opri doar atunci când ultimul militar rus va fi alungat de pe teritoriul său, inclusiv din provincia ucraineană Crimeea, anexată ilegal de Rusia în 2014. Separat, purtătorul de cuvânt al Kremlinului, Dmitri Peskov, a reiterat duminică faptul că Rusia nu va accepta plafoanele impuse de Occident asupra preţurilor hidrocarburilor sale. ""Nu vom fi niciodată de acord cu o astfel de alterare şi distrugere a proceselor pieţei pentru stabilirea preţurilor"", a declarat Peskov la televiziunea publică, potrivit EFE. El a adăugat că preţul maxim stabilit poate fi ""generos"", dar chiar şi aşa, punctul de vedere al Rusiei nu se va schimba. ""Dacă astăzi accepţi o plafonare generoasă, mâine va trebui să accepţi alta care atentează la adresa intereselor tale"", a explicat el. Joi, preşedintele rus a avertizat că, dacă plafonarea gazului rus, care se discută în Occident, încalcă actualele contracte ale Gazprom cu clienţii săi, Moscova îşi va rezerva dreptul ""să se gândească dacă trebuie să le respecte sau nu"", dat fiind că cealaltă parte le încalcă. În ceea ce priveşte impunerea unui preţ maxim al ţiţeiului rus, aprobată deja, Putin a anunţat că va emite un decret cu măsuri de răspuns ""luni sau marţi"". Putin a susţinut că Rusia ""nu pierde nimic"" din plafonarea preţului la ţiţei, dar a avertizat că pentru economia mondială măsura poate avea consecinţe dezastruoase şi ar putea provoca o creştere bruscă a preţului petrolului.",481,498,Adevărat,0,5e8aa59a21925bb821d3f2ff8fbc48f413df28f6
d24_v1_2194899,https://www.digi24.ro/stiri/externe/primul-craciun-in-razboi-mesajul-lui-volodimir-zelenski-vom-rezista-in-aceasta-iarna-si-ne-vom-crea-propriul-miracol-de-craciun-2194899,digi24,2022-12-25 07:24,2022,VideoPrimul Crăciun în război. Mesajul lui Volodimir Zelenski: Vom rezista în această iarnă și ne vom crea propriul miracol de Crăciun,Primul Crăciun în război. Mesajul lui Volodimir Zelenski: Vom rezista în această iarnă și ne vom crea propriul miracol de Crăciun,"Primul Crăciun în război. Mesajul lui Volodimir Zelenski: Vom rezista în această iarnă și ne vom crea propriul miracol de Crăciun. Ucrainenii îşi vor crea propriul miracol de Crăciun, arătând că vor rămâne neînvinşi în ciuda atacurilor ruseşti care au aruncat milioane de oameni în întuneric, a declarat, sâmbătă, preşedintele Volodimir Zelenski într-un mesaj video. Setarile tale privind cookie-urile nu permit afisarea continutul din aceasta sectiune. Poti actualiza setarile modulelor coookie direct din browser sau de aici – e nevoie sa accepti cookie-urile social media Vorbind la zece luni după ce Rusia a declanşat un război care a ucis zeci de mii de oameni şi a strămutat milioane, Zelenski a spus că, dacă libertatea a venit cu un preţ ridicat, sclavia ar costa şi mai mult. „Am îndurat la începutul războiului - am rezistat la atacuri, ameninţări, şantaj nuclear, teroare, lovituri cu rachete. Vom rezista şi în această iarnă, pentru că ştim pentru ce luptăm”, a declarat el. Zelenski a făcut aceste declaraţii într-un mesaj video către ucrainenii care sărbătoresc Crăciunul în decembrie. Majoritatea ucrainenilor sunt creştini ortodocşi de rit vechi şi marchează această ocazie la începutul lunii ianuarie. Atacurile neîncetate ale rachetelor şi dronelor ruseşti din octombrie au provocat daune masive sistemului de generare a energiei electrice, lăsând în mod regulat marile oraşe fără apă şi căldură. „Chiar şi în întuneric complet, ne vom găsi unul pe altul pentru a ne îmbrăţişa strâns. Iar dacă nu există căldură, ne vom îmbrăţişa mult timp pentru a ne încălzi”, a spus el. „Vom zâmbi şi vom fi fericiţi, ca întotdeauna. Există o singură diferenţă - nu vom aştepta un miracol, deoarece îl creăm noi înşine”. Clipul, care a durat puţin sub nouă minute, a fost filmat în aer liber, noaptea, cu doar câteva lumini albe şi un pom de Crăciun în fundal. Zelenski a subliniat că trupele ucrainene luptau în estul regiunii Donbas, în timp ce alţii trăiau în exil în ţară şi în străinătate după ce au fugit de ruşi. „Ne luptăm cu ei de mai bine de 300 de zile şi opt ani. Le vom permite să obţină ceea ce vor?”, a spus el, referindu-se la ocuparea Crimeei de către Rusia în 2014.",347,364,Adevărat,0,859c41a0057484db9e0b39b91e26221058012295
d24_v1_2149189,https://www.digi24.ro/stiri/externe/casa-alba-saluta-victoria-extraordinara-a-ucrainei-in-herson-2149189,digi24,2022-11-12 09:54,2022,Casa Albă salută „victoria extraordinară” a Ucrainei în Herson,Casa Albă salută „victoria extraordinară” a Ucrainei în Herson,"Casa Albă salută „victoria extraordinară” a Ucrainei în Herson. Casa Albă a salutat, sâmbătă, ceea ce pare să fie o „victorie extraordinară” pentru Ucraina după retragerea forţată a armatei ruse şi recucerirea oraşului Herson , în sudul ţării, relatează AFP, citat de Agerpres. „Se pare că ucrainenii tocmai au repurtat o victorie extraordinară: singura capitală regională capturată de Rusia în acest război s-a întors acum sub drapel ucrainean, ceea ce este cu totul remarcabil”, a declarat consilierul pentru securitatea naţională al Casei Albe, Jake Sullivan, care îl însoţeşte pe preşedintele Joe Biden la summitul ASEAN din Cambodgia. Sullivan s-a exprimat după intrarea trupelor ucrainene în oraş, ceea ce reprezintă un nou eşec usturător pentru Rusia, după aproape nouă luni de război în Ucraina. Retragerea forţelor ruse va avea „implicaţii strategice mai largi”, în special atenuarea ameninţării pe termen lung din partea Rusiei asupra mai multor oraşe din sudul Ucrainei, printre care şi Odesa, a declarat el. „Este un moment mare şi se datorează tenacităţii incredibile şi abilităţii ucrainenilor, cu sprijinul unit şi neclintit al SUA şi al aliaţilor noştri”, a adăugat Sullivan. Întrebat despre informaţiile potrivit cărora administraţia preşedintelui Joe Biden ar fi început să exercite presiuni asupra preşedintelui Volodimir Zelenski pentru a lua în considerare negocieri cu Putin, Jack Sullivan a declarat că Rusia, nu Ucraina este cea care trebuie să se decidă dacă să se aşeze sau nu la masa negocierilor. Rusia, a spus el, continuă să aibă „revendicări trăsnite” cu privire la autoproclamatele sale anexări de pământuri ucrainene, chiar şi atunci când se retrage în faţa contraofensivei ucrainene. „Ucraina este parte a păcii în acest conflict, iar Rusia este partea războiului. Rusia a invadat Ucraina. Dacă Rusia ar alege să înceteze să mai lupte în Ucraina şi să plece, ar însemna sfârşitul războiului. Dacă Ucraina ar alege să se oprească să se bată şi să abandoneze, ar însemna sfârşitul Ucrainei”, a subliniat consilierul Casei Albe. „În acest context, poziţia noastră rămâne aceeaşi ca în trecut şi, în mod fundamental, este în strânsă consultare şi în sprijinul preşedintelui Zelenski”, a mai subliniat Sullivan.",340,345,Adevărat,0,de93c07e0c9ee24ce23d65134cd3e78b764785bf
d24_v1_2153703,https://www.digi24.ro/stiri/externe/rusii-care-au-fugit-din-herson-au-lasat-in-urma-liste-cu-agentii-recrutati-de-fsb-documente-secrete-tinute-in-cutii-si-pungi-de-rafie-2153703,digi24,2022-11-16 19:26,2022,"FotoRușii care au fugit din Herson au lăsat în urmă liste cu agenții recrutați de FSB. Documente secrete, ținute în cutii și pungi de rafie","Rușii care au fugit din Herson au lăsat în urmă liste cu agenții recrutați de FSB. Documente secrete, ținute în cutii și pungi de rafie","Rușii care au fugit din Herson au lăsat în urmă liste cu agenții recrutați de FSB. Documente secrete, ținute în cutii și pungi de rafie. Agenții serviciului de informații ucrainean, SBU, au găsit liste cu agenți recrutați de FSB (serviciul secret rus), care au colaborat cu ocupanții ruși din Herson. Documentele au fost lăsate în urmă de ruși, în timpul retragerii haotice din zonă. Printre documentele descoperite de agenții SBU în Herson se numără „obligații” de confidențialitate scrise de mână de cei recrutați privind colaborarea lor cu FSB, dosare ale agenților, note privind misiuni ale rușilor, „protocoale de căutare” în locuințele rezidenților din Herson, se arată într-un comunicat SBU. SBU a postat pe rețelele sociale și imagini în care se văd cutii și sacoșe din rafie cu dosare, documente scrise de mână sau imprimate cu declarații sau liste de colaboratori, telefoane, agende etc. Setarile tale privind cookie-urile nu permit afisarea continutul din aceasta sectiune. Poti actualiza setarile modulelor coookie direct din browser sau de aici – e nevoie sa accepti cookie-urile social media Rușii au lăsat documentele în garajul unei întreprinderi din localitate, în timp de încercau să fugă din calea contraofensivei ucrainene. Potrivit documentelor, colaboratorii recrutați de ruși le dădeau acestora „ponturi” despre locurile unde se află membri ai mișcării de rezistență ucrainene din regiunea de sud. De asemenea, rușii le fabricau dosare penale rezidenților din Herson, persecutându-i ilegal, mai arată SBU. Pe lângă acestea, au mai fost descoperite acte de răpire și tortură, precum și jafuri sub pretextul perchezițiilor la domiciliile rezidenților din Herson, potrivit serviciului de informații ucrainean. SBU a obținut informații că recrutarea colaboratorilor a fost făcută de ofițeri FSB care făceau parte din „grupul operațional temporar VOG-8”. Serviciul de informații ucrainean avertizează că toți cei care au colaborat în mod voluntar cu rușii vor fi pedepsiți.",280,301,Adevărat,0,4779b56633373cdf74a63686bbbb4797cfb1e408
d24_v1_2192413,https://www.digi24.ro/stiri/externe/cel-mai-optimist-scenariu-pentru-kiev-10-ore-pe-zi-cu-electricitate-14-fara-2192413,digi24,2022-12-21 22:59,2022,"Cel mai optimist scenariu pentru Kiev: 10 ore pe zi cu electricitate, 14 fără","Cel mai optimist scenariu pentru Kiev: 10 ore pe zi cu electricitate, 14 fără","Cel mai optimist scenariu pentru Kiev: 10 ore pe zi cu electricitate, 14 fără. Chiar și în cel mai optimist scenariu, este puțin probabil ca Kievul să aibă mai mult de 10 ore de energie electrică pe zi la începutul lunii ianuarie, potrivit unui expert în criza energetică din Ucraina, citat de CNN . Ultimul val de atacuri cu drone rusești „s-a concentrat în mod special asupra rețelei electrice a Kievului și a dus la daune semnificative pentru întregul sistem”, a declarat Oleksandr Kharchenko, director al Centrului de Cercetare a Industriei Energetice, la televiziunea ucraineană. „Având în vedere natura pagubelor, cred că locuitorii orașului Kiev ar trebui să se pregătească pentru faptul că, în următoarele două-trei săptămâni, disponibilitatea energiei electrice timp de patru-șase ore în casă [pe zi] ar fi o veste bună.” „În cel mult o săptămână și jumătate, mai degrabă, poate într-o săptămână, vom reveni la întreruperi programate, în orașul Kiev și în regiune”, a adăugat Kharchenko. Chiar și așa, a spus el, „în cel mai bun caz, vom avea electricitate 10 ore pe zi și 14 ore fără electricitate” la începutul noului an. În timp ce vestea bună a fost că „o cantitate mare de echipamente trebuie să ajungă”, inclusiv generatoare mobile, perturbarea constantă a alimentării cu energie electrică a deteriorat substațiile mici, a spus el. „Echipele de reparații nu pot fi peste tot în același timp. Atunci când se decide dacă să se repare ceva care asigură 30 de case sau o substație care asigură trei case, alegerea se face adesea în favoarea celei în care pot fi conectați mai mulți oameni. Așadar, există situații izolate în care oamenii suferă cu adevărat”, a explicat Kharchenko, adăugând că inginerii învață cum să atenueze efectele rachetelor rusești și ale atacurilor cu drone. Este probabil ca unii ucraineni „să fie forțați să sărbătorească Anul Nou în condiții extrem de dificile”, a spus el, recomandând ca oamenii să se conecteze cu prietenii care au generatoare. „Cred că va fi mai distractiv să fim împreună”.",323,334,Adevărat,0,21e4be1d625c2b3f9d8b9590c4d09e299bf9af50
